rowid,name,product_url,price,catalog_rank,is_smart_tv,is_4k,panel_led,panel_qled,panel_oled,rating
11,TCL P8K 139.7 cm (55 inch) QLED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-p8k-139-7-cm-55-inch-qled-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315576,37990.0,11,0,1,0,1,0,3.7
12,LG LR57 81.28 cm (32 inch) HD LED Smart WebOS TV with Dynamic Tone Mapping (2025 model),https://www.croma.com/lg-lr57-81-28-cm-32-inch-hd-led-smart-webos-tv-with-dynamic-tone-mapping-2025-model-/p/316748,13990.0,12,0,0,1,0,0,
13,SAMSUNG H4550 81.28 cm (32 inch) HD LED Smart Tizen TV with Alexa & Google Voice Assistant (2025 model),https://www.croma.com/samsung-h4550-81-28-cm-32-inch-hd-led-smart-tizen-tv-with-alexa-google-voice-assistant-2025-model-/p/316050,13490.0,13,0,0,1,0,0,3.9
14,Croma 81.28 cm (32 inch) HD Ready LED TV with Bezel Less Display (2025 model),https://www.croma.com/croma-81-28-cm-32-inch-hd-ready-led-tv-with-bezel-less-display-2025-model-/p/317128,7690.0,14,0,0,1,0,0,2.0
15,LG 80cm (32 inch) HD LED Smart webOS TV with AI Sound (2025 Model),https://www.croma.com/lg-80cm-32-inch-hd-led-smart-webos-tv-with-ai-sound-2025-model-/p/315796,14990.0,15,0,0,1,0,0,
16,Xiaomi X Pro Series 109.22 cm (43 inch) 4K Ultra HD QLED Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/xiaomi-x-pro-series-109-22-cm-43-inch-4k-ultra-hd-qled-smart-google-tv-with-google-voice-assistant-2025-model-/p/315469,28999.0,16,0,1,0,1,0,4.8
17,TCL V6C 109.22 cm (43 inch) 4K Ultra HD LED Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-v6c-109-22-cm-43-inch-4k-ultra-hd-led-smart-google-tv-with-google-voice-assistant-2025-model-/p/315761,20490.0,17,0,1,1,0,0,5.0
18,TCL V6C 139.7 cm (55 inch) 4K Ultra HD LED Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-v6c-139-7-cm-55-inch-4k-ultra-hd-led-smart-google-tv-with-google-voice-assistant-2025-model-/p/315756,29990.0,18,0,1,1,0,0,
19,TCL C6K 139.7 cm (55 inch) QD-Mini LED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-c6k-139-7-cm-55-inch-qd-mini-led-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315575,46990.0,19,0,1,1,1,0,5.0
20,LG UA8350 127 cm (50 inch) 4K Ultra HD Smart WebOS TV with AI Magic Remote (2025 model),https://www.croma.com/lg-ua8350-127-cm-50-inch-4k-ultra-hd-smart-webos-tv-with-ai-magic-remote-2025-model-/p/316885,41199.0,20,0,1,0,0,0,
21,Croma 139.7 cm (55 inch) 4K Ultra HD LED Google TV with Google Voice Assistant,https://www.croma.com/croma-139-7-cm-55-inch-4k-ultra-hd-led-google-tv-with-google-voice-assistant/p/307848,27154.0,21,0,1,1,0,0,3.4
22,Xiaomi A Series 109.22 cm (43 inch) Full HD LED Smart Google TV with Dolby Audio (2025 model),https://www.croma.com/xiaomi-a-series-109-22-cm-43-inch-full-hd-led-smart-google-tv-with-dolby-audio-2025-model-/p/315941,19999.0,22,0,0,1,0,0,5.0
23,SONY BRAVIA 2 II 139.7 cm (55 inch) 4K Ultra HD LED Smart Google TV with Built- in Chromecast (2025 model),https://www.croma.com/sony-bravia-2-ii-139-7-cm-55-inch-4k-ultra-hd-led-smart-google-tv-with-built-in-chromecast-2025-model-/p/315840,60100.0,23,0,1,1,0,0,
24,TCL P7K 109.22 cm (43 inch) QLED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-p7k-109-22-cm-43-inch-qled-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315733,25990.0,24,0,1,0,1,0,
25,SAMSUNG Q7F 139.7 cm (55 inch) 4K Ultra HD QLED Smart Tizen TV with Alexa & Google Assistant (2025 model),https://www.croma.com/samsung-q7f-139-7-cm-55-inch-4k-ultra-hd-qled-smart-tizen-tv-with-alexa-google-assistant-2025-model-/p/315264,53300.0,25,0,1,0,1,0,
26,LG 139.7 cm (55 inch) 4K QNED Mini LED WebOS TV with Dolby Vision & Dolby Atmos (2025 Model),https://www.croma.com/lg-139-7-cm-55-inch-4k-qned-mini-led-webos-tv-with-dolby-vision-dolby-atmos-2025-model-/p/315791,67990.0,26,0,1,1,0,0,
27,Croma 109.22 cm (43 inch) QLED 4K Ultra HD Smart Google TV 5.0 with Dolby Vision & Dolby Atmos (2025 model),https://www.croma.com/croma-109-22-cm-43-inch-qled-4k-ultra-hd-smart-google-tv-5-0-with-dolby-vision-dolby-atmos-2025-model-/p/316511,24990.0,27,0,1,0,1,0,3.4
28,TCL P8K 165.1 cm (65 inch) QLED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-p8k-165-1-cm-65-inch-qled-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315577,56990.0,28,0,1,0,1,0,
29,SONY BRAVIA 2 II 109.22 cm (43 inch) 4K Ultra HD LCD Smart Android TV with Built- in Chromecast (2025 model),https://www.croma.com/sony-bravia-2-ii-109-22-cm-43-inch-4k-ultra-hd-lcd-smart-android-tv-with-built-in-chromecast-2025-model-/p/316033,41090.0,29,0,1,0,0,0,5.0
30,TCL V4C 81.28 cm (32 inch) QLED HD Ready Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-v4c-81-28-cm-32-inch-qled-hd-ready-smart-google-tv-with-google-voice-assistant-2025-model-/p/315759,10990.0,30,0,0,0,1,0,
31,LG UA75 109.22 cm (43 inch) 4K Ultra HD Smart WebOS TV with Google Cast (2025 model),https://www.croma.com/lg-ua75-109-22-cm-43-inch-4k-ultra-hd-smart-webos-tv-with-google-cast-2025-model-/p/315800,31990.0,31,0,1,0,0,0,
32,SONY BRAVIA 2 II 109.22 cm (43 inch) LCD 4K Ultra HD Smart Android TV with Google Voice Assistant (2025 model),https://www.croma.com/sony-bravia-2-ii-109-22-cm-43-inch-lcd-4k-ultra-hd-smart-android-tv-with-google-voice-assistant-2025-model-/p/316032,38490.0,32,0,1,0,0,0,
33,Croma 81.28 (32 inch) LED HD Ready Smart Google TV with Dolby Audio (2025 Model),https://www.croma.com/croma-81-28-32-inch-led-hd-ready-smart-google-tv-with-dolby-audio-2025-model-/p/317112,12490.0,33,0,0,1,0,0,4.0
34,SAMSUNG U8100F 109.22 cm (43 inch) 4K Ultra HD LED Smart Tizen TV with Alexa & Google Assistant (2025 model),https://www.croma.com/samsung-u8100f-109-22-cm-43-inch-4k-ultra-hd-led-smart-tizen-tv-with-alexa-google-assistant-2025-model-/p/315255,30490.0,34,0,1,1,0,0,
35,TCL P8K 190.5 cm (75 inch) QLED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-p8k-190-5-cm-75-inch-qled-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315568,74990.0,35,0,1,0,1,0,
36,SONY BRAVIA 2 165.1 cm (65 inch) 4K Ultra HD LED Smart Google TV with Built- in Chromecast (2025 model),https://www.croma.com/sony-bravia-2-165-1-cm-65-inch-4k-ultra-hd-led-smart-google-tv-with-built-in-chromecast-2025-model-/p/315883,81990.0,36,0,1,1,0,0,
37,SAMSUNG U8100F 139.7 cm (55 inch) 4K Ultra HD LED Smart Tizen TV with Alexa & Google Assistant (2025 model),https://www.croma.com/samsung-u8100f-139-7-cm-55-inch-4k-ultra-hd-led-smart-tizen-tv-with-alexa-google-assistant-2025-model-/p/315258,43290.0,37,0,1,1,0,0,
38,TCL V6C 165.1 cm (65 inch) 4K Ultra HD LED Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-v6c-165-1-cm-65-inch-4k-ultra-hd-led-smart-google-tv-with-google-voice-assistant-2025-model-/p/315757,45990.0,38,0,1,1,0,0,
39,SAMSUNG QEF1 109.22 cm (43 inch) 4K Ultra HD QLED Smart Tizen TV with Google Assistant (2025 model),https://www.croma.com/samsung-qef1-109-22-cm-43-inch-4k-ultra-hd-qled-smart-tizen-tv-with-google-assistant-2025-model-/p/316727,33990.0,39,0,1,0,1,0,
40,Croma 139.7 cm (55 inch) QLED 4K Ultra HD Smart Google TV 5.0 with Dolby Vision & Dolby Atmos (2025 model),https://www.croma.com/croma-139-7-cm-55-inch-qled-4k-ultra-hd-smart-google-tv-5-0-with-dolby-vision-dolby-atmos-2025-model-/p/316061,36990.0,40,1,1,0,1,0,5.0
41,LG UQ7500 139.7 cm (55 inch) 4K Ultra HD LED WebOS TV with α5 Gen5 AI Processor (2022 model),https://www.croma.com/lg-uq7500-139-7-cm-55-inch-4k-ultra-hd-led-webos-tv-with-%CE%B15-gen5-ai-processor-2022-model-/p/274581,43990.0,41,0,1,1,0,0,2.1
42,TCL S5K 109.22 cm (43 inch) QLED Full HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-s5k-109-22-cm-43-inch-qled-full-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315567,18990.0,42,0,0,0,1,0,1.0
43,Croma 127 cm (50 inch) QLED 4K Ultra HD Smart Google TV 5.0 with Dolby Vision & Dolby Atmos (2025 model),https://www.croma.com/croma-127-cm-50-inch-qled-4k-ultra-hd-smart-google-tv-5-0-with-dolby-vision-dolby-atmos-2025-model-/p/316515,31990.0,43,0,1,0,1,0,
44,Westinghouse W2 Series 101.6 cm (40 inch) Full HD LED Smart Android TV with Built-in Google Assistant (2023 model),https://www.croma.com/westinghouse-w2-series-101-6-cm-40-inch-full-hd-led-smart-android-tv-with-built-in-google-assistant-2023-model-/p/311279,14499.0,44,0,0,1,0,0,3.0
45,LG evo AI C5 139.7 cm (55 inch) OLED 4K Ultra HD Smart WebOS TV with Dolby Vision & Dolby Atmos (2025 model),https://www.croma.com/lg-evo-ai-c5-139-7-cm-55-inch-oled-4k-ultra-hd-smart-webos-tv-with-dolby-vision-dolby-atmos-2025-model-/p/316148,125299.0,45,0,1,0,0,1,
46,SAMSUNG QEF1 139.7 cm (55 inch) 4K Ultra HD QLED Smart Tizen TV with Google Assistant (2025 model),https://www.croma.com/samsung-qef1-139-7-cm-55-inch-4k-ultra-hd-qled-smart-tizen-tv-with-google-assistant-2025-model-/p/316728,43990.0,46,0,1,0,1,0,
47,TCL V5C 81.28 cm (32 inch) QLED Full HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-v5c-81-28-cm-32-inch-qled-full-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315758,12490.0,47,0,0,0,1,0,
48,Xiaomi A Pro 81.28 cm (32 inch) QLED HD Smart Google TV with Built-in Google Assistant (2025 model),https://www.croma.com/xiaomi-a-pro-81-28-cm-32-inch-qled-hd-smart-google-tv-with-built-in-google-assistant-2025-model-/p/315467,14999.0,48,0,0,0,1,0,3.0
49,Croma Pro QLED 109.22 cm (43 inch) 4K Ultra HD Google TV with Dolby Vision & Dolby Atmos (2025 Model),https://www.croma.com/croma-pro-qled-109-22-cm-43-inch-4k-ultra-hd-google-tv-with-dolby-vision-dolby-atmos-2025-model-/p/315601,26990.0,49,0,1,0,1,0,4.0
50,SAMSUNG Q8F 139.7 cm (55 inch) QLED 4K Ultra HD Smart Tizen TV with  Built-in Alexa & Bixby (2025 model),https://www.croma.com/samsung-q8f-139-7-cm-55-inch-qled-4k-ultra-hd-smart-tizen-tv-with-built-in-alexa-bixby-2025-model-/p/315365,61990.0,50,0,1,0,1,0,
51,LG UQ7500 109.22 cm (43 inch) 4K Ultra HD LED WebOS TV with α5 Gen 5 AI Processor,https://www.croma.com/lg-uq7500-109-22-cm-43-inch-4k-ultra-hd-led-webos-tv-with-%CE%B15-gen-5-ai-processor/p/274582,32990.0,51,0,1,1,0,0,3.3
52,SONY X64L 108 cm (43 inch) 4K Ultra HD LED Google TV with High Dynamic Range (2023 Model),https://www.croma.com/sony-x64l-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-high-dynamic-range-2023-model-/p/273157,34999.0,52,0,1,1,0,0,4.2
53,SAMSUNG UE81A 165.1 cm (65 inch) 4K Ultra HD LED Smart Tizen TV with Alexa & Google Voice Assistant (2025 Model),https://www.croma.com/samsung-ue81a-165-1-cm-65-inch-4k-ultra-hd-led-smart-tizen-tv-with-alexa-google-voice-assistant-2025-model-/p/316054,57990.0,53,0,1,1,0,0,
54,Croma 165.1 cm (65 inch) QLED 4K Ultra HD Smart Google TV 5.0 with Dolby Vision & Dolby Atmos (2025 model),https://www.croma.com/croma-165-1-cm-65-inch-qled-4k-ultra-hd-smart-google-tv-5-0-with-dolby-vision-dolby-atmos-2025-model-/p/316505,54990.0,54,0,1,0,1,0,
55,Redmi L43R8-FVIN 108 cm (43 inch) 4K Ultra HD LED Fire TV with Vivid Picture Engine (2023 model),https://www.croma.com/redmi-l43r8-fvin-108-cm-43-inch-4k-ultra-hd-led-fire-tv-with-vivid-picture-engine-2023-model-/p/308643,26999.0,55,0,1,1,0,0,5.0
56,Xiaomi X Series 109.22 cm (43 inch) 4K Ultra HD LED Smart Google TV with Dolby Vision (2025 model),https://www.croma.com/xiaomi-x-series-109-22-cm-43-inch-4k-ultra-hd-led-smart-google-tv-with-dolby-vision-2025-model-/p/315943,24999.0,56,0,1,1,0,0,
57,Redmi F Series 80 cm (32 inch) HD Ready LED Smart Fire TV with Dolby Audio (2024 model),https://www.croma.com/redmi-f-series-80-cm-32-inch-hd-ready-led-smart-fire-tv-with-dolby-audio-2024-model-/p/308004,13999.0,57,0,0,1,0,0,3.0
58,LG UQ8020 108 cm (43 inch) 4K Ultra HD WebOS TV with 2.0 Channel Speaker,https://www.croma.com/lg-uq8020-108-cm-43-inch-4k-ultra-hd-webos-tv-with-2-0-channel-speaker/p/268103,33999.0,58,0,1,0,0,0,1.0
59,SAMSUNG Q7F 109.22 cm (43 inch) QLED 4K Ultra HD Smart Tizen TV with Google Voice Assistant (2025 model),https://www.croma.com/samsung-q7f-109-22-cm-43-inch-qled-4k-ultra-hd-smart-tizen-tv-with-google-voice-assistant-2025-model-/p/315353,39190.0,59,0,1,0,1,0,
60,Xiaomi X Series 139.7 cm (55 inch) 4K Ultra HD LED Smart Google TV with Dolby Vision (2025 model),https://www.croma.com/xiaomi-x-series-139-7-cm-55-inch-4k-ultra-hd-led-smart-google-tv-with-dolby-vision-2025-model-/p/315465,34999.0,60,0,1,1,0,0,
61,Westinghouse W2 Series 81.28 cm (32 inch) HD Ready LED Smart Android TV with Google Assistant (2023 model),https://www.croma.com/westinghouse-w2-series-81-28-cm-32-inch-hd-ready-led-smart-android-tv-with-google-assistant-2023-model-/p/311278,8999.0,61,0,0,1,0,0,1.0
62,SAMSUNG U8100F 127 cm (50 inch) 4K Ultra HD LED Smart Tizen TV with Alexa & Google Assistant (2025 model),https://www.croma.com/samsung-u8100f-127-cm-50-inch-4k-ultra-hd-led-smart-tizen-tv-with-alexa-google-assistant-2025-model-/p/315257,40990.0,62,0,1,1,0,0,
63,SONY BRAVIA 2 II 190.5 cm (75 inch) 4K Ultra HD LED Smart Google TV with Built- in Chromecast (2025 model),https://www.croma.com/sony-bravia-2-ii-190-5-cm-75-inch-4k-ultra-hd-led-smart-google-tv-with-built-in-chromecast-2025-model-/p/315884,120490.0,63,0,1,1,0,0,
64,Xiaomi A Series 81.28 cm (32 inch) HD LED Smart Google TV with Dolby Audio (2025 model),https://www.croma.com/xiaomi-a-series-81-28-cm-32-inch-hd-led-smart-google-tv-with-dolby-audio-2025-model-/p/315938,12999.0,64,0,0,1,0,0,
65,SONY BRAVIA 2 II 139.7 cm (55 inch) 4K Ultra HD LED Smart Google TV with Google Assistant (2025 model),https://www.croma.com/sony-bravia-2-ii-139-7-cm-55-inch-4k-ultra-hd-led-smart-google-tv-with-google-assistant-2025-model-/p/316615,63590.0,65,0,1,1,0,0,
66,Croma 109.22 (43 inch) Full HD Smart Google TV 5.0 with Dolby Audio (2025 Model),https://www.croma.com/croma-109-22-43-inch-full-hd-smart-google-tv-5-0-with-dolby-audio-2025-model-/p/317120,19990.0,66,1,0,0,0,0,
67,TCL V6C 127 cm (50 inch) 4K Ultra HD LED Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-v6c-127-cm-50-inch-4k-ultra-hd-led-smart-google-tv-with-google-voice-assistant-2025-model-/p/315755,29490.0,67,0,1,1,0,0,
68,LG NanoCell AI NANO83 109.22 cm (43 inch) 4K Ultra HD Smart WebOS TV with Dolby Atmos (2025 Model),https://www.croma.com/lg-nanocell-ai-nano83-109-22-cm-43-inch-4k-ultra-hd-smart-webos-tv-with-dolby-atmos-2025-model-/p/316498,36699.0,68,0,1,0,0,0,
69,SAMSUNG QN70F 139.7 cm (55 inch) 4K Ultra HD Mini-LED Neo QLED Smart Tizen TV with Multiple Voice Assistant (2025 model),https://www.croma.com/samsung-qn70f-139-7-cm-55-inch-4k-ultra-hd-mini-led-neo-qled-smart-tizen-tv-with-multiple-voice-assistant-2025-model-/p/315354,79700.0,69,0,1,1,1,0,
70,SAMSUNG U8400F 139.7 cm (55 inch) 4K Ultra HD LED Smart Tizen TV with Alexa & Google Assistant (2025 model),https://www.croma.com/samsung-u8400f-139-7-cm-55-inch-4k-ultra-hd-led-smart-tizen-tv-with-alexa-google-assistant-2025-model-/p/315266,47799.0,70,0,1,1,0,0,
71,SAMSUNG U8600F 139.7 cm (55 inch) 4K Ultra HD LED Smart Tizen TV with Alexa & Google Assistant (2025 model),https://www.croma.com/samsung-u8600f-139-7-cm-55-inch-4k-ultra-hd-led-smart-tizen-tv-with-alexa-google-assistant-2025-model-/p/315256,47900.0,71,0,1,1,0,0,
72,TCL P6K 139.7 cm (55 inch) 4K Ultra HD LED Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-p6k-139-7-cm-55-inch-4k-ultra-hd-led-smart-google-tv-with-google-voice-assistant-2025-model-/p/315570,31990.0,72,0,1,1,0,0,
73,SAMSUNG QE1D 139.7 cm (55 inch) QLED 4K Ultra HD Smart Tizen TV with 4K Upscaling (2024 model),https://www.croma.com/samsung-qe1d-139-7-cm-55-inch-qled-4k-ultra-hd-smart-tizen-tv-with-4k-upscaling-2024-model-/p/308215,56990.0,73,0,1,0,1,0,
74,LG UA8350 165.1 cm (65 inch) 4K Ultra HD Smart WebOS TV with AI Magic Remote (2025 model),https://www.croma.com/lg-ua8350-165-1-cm-65-inch-4k-ultra-hd-smart-webos-tv-with-ai-magic-remote-2025-model-/p/316140,70990.0,74,0,1,0,0,0,
75,LG 190.5 cm (75 inch) 4K QNED MiniLed Smart WebOS TV with Dolby Vision & Dolby Atmos (2025 Model),https://www.croma.com/lg-190-5-cm-75-inch-4k-qned-miniled-smart-webos-tv-with-dolby-vision-dolby-atmos-2025-model-/p/315789,143299.0,75,0,1,0,0,0,
76,Croma 165.1 cm (65 inch) 4K Ultra HD LED Smart Google TV with Google Assistant (2025 model),https://www.croma.com/croma-165-1-cm-65-inch-4k-ultra-hd-led-smart-google-tv-with-google-assistant-2025-model-/p/316031,52990.0,76,0,1,1,0,0,
77,SAMSUNG T4380A Series 80 cm (32 inch) HD Ready LED Smart Tizen TV with PurColor (2022 model),https://www.croma.com/samsung-t4380a-series-80-cm-32-inch-hd-ready-led-smart-tizen-tv-with-purcolor-2022-model-/p/306641,13990.0,77,0,0,1,0,0,3.1
78,SAMSUNG DUE70 165.1 cm (65 inch) 4K Ultra HD LED Tizen OS TV with Crystal Processor 4K,https://www.croma.com/samsung-due70-165-1-cm-65-inch-4k-ultra-hd-led-tizen-os-tv-with-crystal-processor-4k/p/305598,57990.0,78,0,1,1,0,0,
79,SONY BRAVIA 5 139.7 cm (55 inch) Mini LED 4K Ultra HD Smart Google TV with Dolby Vision & Dolby Atmos (2025 model),https://www.croma.com/sony-bravia-5-139-7-cm-55-inch-mini-led-4k-ultra-hd-smart-google-tv-with-dolby-vision-dolby-atmos-2025-model-/p/316461,122990.0,79,0,1,1,0,0,
80,SAMSUNG Series 4 80 cm (32 inch) HD Ready LED Smart Tizen TV with Hyper Real Picture Engine (2020 Model),https://www.croma.com/samsung-series-4-80-cm-32-inch-hd-ready-led-smart-tizen-tv-with-hyper-real-picture-engine-2020-model-/p/251190,13990.0,80,0,0,1,0,0,3.0
81,SAMSUNG DUE70 127 cm (50 inch) 4K Ultra HD LED Tizen OS TV with Crystal Processor 4K,https://www.croma.com/samsung-due70-127-cm-50-inch-4k-ultra-hd-led-tizen-os-tv-with-crystal-processor-4k/p/306174,37990.0,81,0,1,1,0,0,
82,LG NanoCell AI NANO80 190.5 cm (75 inch) 4K Ultra HD Smart WebOS TV with AI Magic Remote (2025 model),https://www.croma.com/lg-nanocell-ai-nano80-190-5-cm-75-inch-4k-ultra-hd-smart-webos-tv-with-ai-magic-remote-2025-model-/p/316139,92990.0,82,0,1,0,0,0,
83,Croma 127 cm (50 inch) Ultra HD 4K LED Google TV 5.0 with Dolby Audio (2025 model),https://www.croma.com/croma-127-cm-50-inch-ultra-hd-4k-led-google-tv-5-0-with-dolby-audio-2025-model-/p/316519,29990.0,83,0,1,1,0,0,
84,SAMSUNG Q8F 109.22 cm (43 inch) QLED 4K Ultra HD Smart Tizen TV with Built-in Alexa & Bixby (2025 model),https://www.croma.com/samsung-q8f-109-22-cm-43-inch-qled-4k-ultra-hd-smart-tizen-tv-with-built-in-alexa-bixby-2025-model-/p/315360,46215.0,84,0,1,0,1,0,
85,Haier 43A9UG 109.22 cm (43 inch) 4K Ultra HD LED Backlit Smart Google TV with Google Assistant Support (2025 model),https://www.croma.com/haier-43a9ug-109-22-cm-43-inch-4k-ultra-hd-led-backlit-smart-google-tv-with-google-assistant-support-2025-model-/p/315792,25780.0,85,0,1,1,0,0,
86,LG NanoCell AI NANO83 165.1 cm (65 inch) 4K Ultra HD Smart WebOS TV with Dolby Atmos (2025 Model),https://www.croma.com/lg-nanocell-ai-nano83-165-1-cm-65-inch-4k-ultra-hd-smart-webos-tv-with-dolby-atmos-2025-model-/p/316456,76199.0,86,0,1,0,0,0,
87,SAMSUNG S85F 138 cm (55 inch) OLED 4K Ultra HD Tizen TV with Dolby Atmos (2025 Model),https://www.croma.com/samsung-s85f-138-cm-55-inch-oled-4k-ultra-hd-tizen-tv-with-dolby-atmos-2025-model-/p/318644,114990.0,87,0,1,0,0,1,
88,LG 165.1 cm (65 inch) OLED 4K Ultra HD Smart WebOS TV with Dolby Atmos (2025 model),https://www.croma.com/lg-165-1-cm-65-inch-oled-4k-ultra-hd-smart-webos-tv-with-dolby-atmos-2025-model-/p/315787,196699.0,88,0,1,0,0,1,
89,SAMSUNG LS03F The Frame 139.7 cm (55 inch) QLED 4K Ultra HD Tizen TV with Built-in Alexa Voice Assistant (2025 model),https://www.croma.com/samsung-ls03f-the-frame-139-7-cm-55-inch-qled-4k-ultra-hd-tizen-tv-with-built-in-alexa-voice-assistant-2025-model-/p/315273,85300.0,89,0,1,0,1,0,
90,TCL C6K 165.1 cm (65 inch) QD-Mini LED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-c6k-165-1-cm-65-inch-qd-mini-led-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315578,67990.0,90,0,1,1,1,0,
91,SAMSUNG QEF1 165.1 cm (65 inch) 4K Ultra HD QLED Smart Tizen TV with Google Assistant (2025 model),https://www.croma.com/samsung-qef1-165-1-cm-65-inch-4k-ultra-hd-qled-smart-tizen-tv-with-google-assistant-2025-model-/p/316725,76990.0,91,0,1,0,1,0,
92,TOSHIBA C450 139 cm (55 inch) 4K Ultra HD QLED VIDAA TV with Dolby Vision and Dolby Atmos (2024 model),https://www.croma.com/toshiba-c450-139-cm-55-inch-4k-ultra-hd-qled-vidaa-tv-with-dolby-vision-and-dolby-atmos-2024-model-/p/307656,31299.0,92,0,1,0,1,0,3.0
93,iFFalcon Q73 127 cm (50 inch) QLED 4K Ultra HD Google TV with High Brightness,https://www.croma.com/iffalcon-q73-127-cm-50-inch-qled-4k-ultra-hd-google-tv-with-high-brightness/p/307880,31299.0,93,0,1,0,1,0,4.5
94,LG LM56 80cm (32 Inch) HD Ready LED Smart WebOS TV with DTS Virtual:X,https://www.croma.com/lg-lm56-80cm-32-inch-hd-ready-led-smart-webos-tv-with-dts-virtual-x/p/228393,14490.0,94,0,0,1,0,0,4.0
95,LG evo AI G4 165.1 cm (65 inch) OLED 4K Ultra HD Smart WebOS TV with Dolby Atmos (2025 model),https://www.croma.com/lg-evo-ai-g4-165-1-cm-65-inch-oled-4k-ultra-hd-smart-webos-tv-with-dolby-atmos-2025-model-/p/307485,244199.0,95,0,1,0,0,1,
